colony_id,direction,filename,image_path,area,perimeter,ellipticity,major_axis,minor_axis,center_x,center_y,ellipse_angle,centroid_x,centroid_y,max_radius,max_radius_angle,min_radius,min_radius_angle,mean_radius,std_radius,radius_ratio
1,down,1.bmp,./image\down\1.bmp,68361.0,2828.1504868268967,1.8728719351760275,429.7528076171875,229.46192932128906,1981.7353515625,1515.6312255859375,110.35106658935547,1987,1515,239.7269279826528,207.313274418297,69.2314957226839,169.1769887737929,164.18374937399855,41.70874291576859,3.462685956445479
10,down,10.bmp,./image\down\10.bmp,68967.0,3956.4734234809875,1.3762379778872895,356.97625732421875,259.38555908203125,1998.7130126953125,1517.3797607421875,103.62662506103516,2000,1517,196.1555505204989,171.49812058851856,99.98499887483122,120.66892664971493,151.26597523338535,22.89978192654687,1.961849804749823
11,down,11.bmp,./image\down\11.bmp,417121.0,5521.330411434174,1.0953819234210684,776.4786987304688,708.86572265625,1884.302490234375,1412.5517578125,70.74723052978516,1885,1407,424.35480437954277,209.04148993599347,280.9199174141983,244.71203173817696,364.61180366787653,28.452160616330243,1.5105899513485153
12,down,12.bmp,./image\down\12.bmp,323810.5,3163.2703244686127,1.1945009534507254,706.0487060546875,591.0825805664062,2175.249755859375,1539.8636474609375,157.8636932373047,2176,1541,382.6878623630491,82.03928600530382,244.1741182025646,11.816147072839275,315.57749825515526,29.244346745556424,1.567274472741516
13,down,13.bmp,./image\down\13.bmp,402340.0,6507.427952170372,1.162949548669482,782.2694702148438,672.6598510742188,2110.340576171875,1528.1376953125,9.698535919189453,2108,1533,453.948234934337,305.40562629323256,286.04370295463593,299.0740593715087,366.8429973556548,36.15308554120004,1.5869890867911511
14,down,14.bmp,./image\down\14.bmp,314539.5,12889.677191376686,1.5680902734550553,867.1822509765625,553.01806640625,2110.665283203125,1578.7720947265625,87.4004898071289,2116,1565,511.2856344549493,30.175773019282317,109.63576058932597,104.79676224505735,316.1214711741637,90.09266782605428,4.6634932954962105
15,down,15.bmp,./image\down\15.bmp,238772.0,9183.554053544998,1.354342191001837,808.339599609375,596.850341796875,2184.269287109375,1726.72021484375,176.6047821044922,2190,1817,532.7109910636348,231.17221867242694,91.4166286842826,289.82246457036524,307.53566909169587,80.51047032422893,5.827287647014537
16,down,16.bmp,./image\down\16.bmp,501403.5,9068.968267440796,1.4352664867433713,960.0047607421875,668.86865234375,1993.923828125,1327.6051025390625,172.5347137451172,1981,1332,544.6696246349708,267.1586072528263,202.42776489404807,173.1909498203866,392.169887600169,76.57712692511105,2.6906863538213455
17,down,17.bmp,./image\down\17.bmp,166326.0,6934.84930562973,1.1808278619857209,527.1135864257812,446.39324951171875,2020.4837646484375,1525.9447021484375,176.71092224121094,2019,1536,323.2893440866865,250.10774294664458,109.73149046650191,341.39993411396694,230.3492767928037,43.893555415845476,2.946185663862628
18,down,18.bmp,./image\down\18.bmp,142505.0,3240.6012785434723,1.3491915122603795,498.4173583984375,369.4192810058594,2191.7666015625,1646.781982421875,30.18645477294922,2193,1645,256.49366463910957,289.35329820399534,136.85028315644803,243.06047193619918,209.06553185314272,28.59571497840428,1.8742647711286395
19,down,19.bmp,./image\down\19.bmp,12007.0,1481.1168736219406,1.3656092365812067,172.4904327392578,126.31024169921875,2366.01513671875,1640.0634765625,32.83553695678711,2362,1639,102.88342918079665,297.81041544384635,3.1622776601683795,71.56505117707799,56.66280282224995,26.789909405640984,32.53459696999488
2,down,2.bmp,./image\down\2.bmp,82859.0,1659.2833940982819,1.1052663533656175,342.2230529785156,309.6294860839844,2262.26708984375,1542.9339599609375,115.8841552734375,2262,1542,185.64751546950473,25.18469710363354,131.48764200486676,235.22216863363613,160.28648580712726,11.757045272286724,1.4119008648937013
20,down,20.bmp,./image\down\20.bmp,209988.5,2032.947387933731,1.1292528873871965,549.5884399414062,486.6832275390625,2113.127197265625,1353.2728271484375,27.2280330657959,2112,1353,280.07141946296485,114.91802251581925,237.77720664521232,209.47588900324575,258.5042130632013,11.498999999513392,1.17787328488916
